Questions,Answers,Labels
AB5C,Dislike routine.,C
AB5C,Complete tasks successfully.,C
AB5C,Follow through on my commitments.,C
AB5C,Have an eye for detail.,C
AB5C,Demand quality.,C
AB5C,Detect mistakes.,C
AB5C,Think ahead.,C
AB5C,Make well-considered decisions.,C
AB5C,Pay attention to details.,C
AB5C,Set high standards for myself and others.,C
AB5C,Seldom notice details.,C
AB5C,Don't pay attention.,C
AB5C,Put little time and effort into my work.,C
AB5C,Want every detail taken care of.,C
AB5C,Demand perfection in others.,C
AB5C,Want everything to be just right.,C
AB5C,Expect dedicated work from others.,C
AB5C,Keep a sharp eye on others' work.,C
AB5C,Want things to proceed according to plan.,C
AB5C,Continue until everything is perfect.,C
AB5C,Am not bothered by disorder.,C
AB5C,Am not bothered by messy people.,C
AB5C,Enjoy being part of a loud crowd.,E
AB5C,Enjoy being on the go.,E
AB5C,Can't do without the company of others.,E
AB5C,Enjoy silence.,E
AB5C,Like to be alone.,E
AB5C,Go my own way.,E
AB5C,Don't like crowded events.,E
AB5C,Dislike neighbors living too close.,E
AB5C,Seek quiet.,E
AB5C,Amuse myself easily.,E
AB5C,Never stop talking.,E
AB5C,Talk too much.,E
AB5C,Make a lot of noise.,E
AB5C,Make myself the center of attention.,E
AB5C,Speak loudly.,E
AB5C,Do most of the talking.,E
AB5C,Demand to be the center of interest.,E
AB5C,Like to attract attention.,E
AB5C,Dislike talking about myself.,E
AB5C,Speak softly.,E
AB5C,Know how to comfort others.,A
AB5C,Make people feel at ease.,A
AB5C,Feel others' emotions.,A
AB5C,Show my gratitude.,A
AB5C,Make others feel good.,A
AB5C,Take time out for others.,A
AB5C,Am interested in people.,A
AB5C,Inquire about others' well-being.,A
AB5C,Make people feel welcome.,A
AB5C,Am not really interested in others.,A
AB5C,Rarely smile.,A
BFAS,Am filled with doubts about things.,N
BFAS,Feel threatened easily.,N
BFAS,Worry about things.,N
BFAS,Am easily discouraged.,N
BFAS,Become overwhelmed by events.,N
BFAS,Am afraid of many things.,N
BFAS,Seldom feel blue.,N
BFAS,Feel comfortable with myself.,N
BFAS,Rarely feel depressed.,N
BFAS,Am not embarrassed easily.,N
BFAS,Take charge.,E
BFAS,Have a strong personality.,E
BFAS,Know how to captivate people.,E
BFAS,See myself as a good leader.,E
BFAS,Can talk others into doing things.,E
BFAS,Am the first to act.,E
BFAS,Do not have an assertive personality.,E
BFAS,Lack the talent for influencing people.,E
BFAS,Wait for others to lead the way.,E
BFAS,Hold back my opinions.,E
BFAS,Carry out my plans.,C
BFAS,Finish what I start.,C
BFAS,Get things done quickly.,C
BFAS,Always know what I am doing.,C
BFAS,Waste my time.,C
BFAS,Find it difficult to get down to work.,C
BFAS,Mess things up.,C
BFAS,Don?t put my mind on the task at hand.,C
BFAS,Postpone decisions.,C
BFAS,Am easily distracted.,C
BFAS,Am quick to understand things.,O
BFAS,Can handle a lot of information.,O
BFAS,Like to solve complex problems.,O
BFAS,Have a rich vocabulary.,O
BFAS,Think quickly.,O
BFAS,Formulate ideas clearly.,O
BFAS,Have difficulty understanding abstract ideas.,O
BFAS,Avoid philosophical discussions.,O
BFAS,Avoid difficult reading material.,O
BFAS,Learn things slowly.,O
BFAS,Enjoy the beauty of nature.,O
BFAS,Believe in the importance of art.,O
BFAS,Love to reflect on things.,O
BFAS,Get deeply immersed in music.,O
BFAS,See beauty in things that others might not notice.,O
BFAS,Need a creative outlet.,O
BFAS,Am quick to understand things.,O
BFAS,Can handle a lot of information.,O
BFAS,Like to solve complex problems.,O
BFAS,Have a rich vocabulary.,O
BFAS,Think quickly.,O
BFAS,Formulate ideas clearly.,O
BFAS,Do not like poetry.,O
BFAS,Seldom get lost in thought.,O
BFAS,Seldom daydream.,O
BFAS,Seldom notice the emotional aspects of paintings and pictures.,O
BFAS,Have difficulty understanding abstract ideas.,O
BFAS,Avoid philosophical discussions.,O
BFAS,Avoid difficult reading material.,O
BFAS,Learn things slowly.,O
BFAS,Get angry easily.,N
BFAS,Get upset easily.,N
BFAS,Change my mood a lot.,N
BFAS,Am a person whose moods go up and down easily.,N
BFAS,Get easily agitated.,N
BFAS,Can be stirred up easily.,N
BFAS,Am filled with doubts about things.,N
BFAS,Feel threatened easily.,N
BFAS,Worry about things.,N
BFAS,Am easily discouraged.,N
BFAS,Become overwhelmed by events.,N
BFAS,Am afraid of many things.,N
BFAS,Rarely get irritated.,N
BFAS,Keep my emotions under control.,N
BFAS,Rarely lose my composure.,N
BFAS,Am not easily annoyed.,N
BFAS,Seldom feel blue.,N
BFAS,Feel comfortable with myself.,N
BFAS,Rarely feel depressed.,N
BFAS,Am not embarrassed easily.,N
BFAS,Like order.,C
BFAS,Keep things tidy.,C
BFAS,Follow a schedule.,C
BFAS,Want everything to be ?just right.?,C
BFAS,See that rules are observed.,C
BFAS,Want every detail taken care of.,C
BFAS,Leave my belongings around.,C
BFAS,Am not bothered by messy people.,C
BFAS,Am not bothered by disorder.,C
BFAS,Dislike routine.,C
BFAS-20,Am interested in people.,A
BFAS-20,Sympathize with others' feelings.,A
BFAS-20,Have a soft heart.,A
BFAS-20,Take time out for others.,A
BFAS-20,Feel others' emotions.,A
BFAS-20,Make people feel at ease.,A
BFAS-20,Inquire about others' well-being.,A
BFAS-20,Know how to comfort others.,A
BFAS-20,Love children.,A
BFAS-20,Am on good terms with nearly everyone.,A
BFAS-20,Have a good word for everyone.,A
BFAS-20,Show my gratitude.,A
BFAS-20,Think of others first.,A
BFAS-20,Love to help others.,A
BFAS-20,Am not interested in other people's problems.,A
BFAS-20,Feel little concern for others.,A
BFAS-20,Am not really interested in others.,A
BFAS-20,Am hard to get to know.,A
BFAS-20,Am indifferent to the feelings of others.,A
BFAS-20,Am always prepared.,C
BFAS-20,Pay attention to details.,C
BFAS-20,Get chores done right away.,C
BFAS-20,Like order.,C
BFAS-20,Follow a schedule.,C
BFAS-20,Am exacting in my work.,C
BFAS-20,Do things according to a plan.,C
BFAS-20,Continue until everything is perfect.,C
BFAS-20,Make plans and stick to them.,C
BFAS-20,Love order and regularity.,C
BFAS-20,Like to tidy up.,C
BFAS-20,Leave my belongings around.,C
BFAS-20,Make a mess of things.,C
BFAS-20,Often forget to put things back in their proper place.,C
BFAS-20,Shirk my duties.,C
BFAS-20,Neglect my duties.,C
BFAS-20,Waste my time.,C
BFAS-20,Do things in a half-way manner.,C
BFAS-20,Find it difficult to get down to work.,C
BFAS-20,Leave a mess in my room.,C
BFAS-20,Am relaxed most of the time.,N
BFAS-20,Seldom feel blue.,N
BFAS-20,Am not easily bothered by things.,N
BFAS-20,Rarely get irritated.,N
BFAS-20,Seldom get mad.,N
BFAS-20,Get stressed out easily.,N
BFAS-20,Worry about things.,N
BFAS-20,Am easily disturbed.,N
BFAS-20,Get upset easily.,N
BFAS-20,Change my mood a lot.,N
BFAS-20,Have frequent mood swings.,N
BFAS-20,Get irritated easily.,N
BFAS-20,Often feel blue.,N
BFAS-20,Get angry easily.,N
BFAS-20,Panic easily.,N
BFAS-20,Feel threatened easily.,N
BFAS-20,Get overwhelmed by emotions.,N
BFAS-20,Take offense easily.,N
BFAS-20,Get caught up in my problems.,N
BFAS-20,Grumble about things.,N
BFAS-20,Am the life of the party.,E
BFAS-20,Feel comfortable around people.,E
BFAS-20,Start conversations.,E
BFAS-20,Talk to a lot of different people at parties.,E
BFAS-20,Don't mind being the center of attention.,E
BFAS-20,Make friends easily.,E
BFAS-20,Take charge.,E
BFAS-20,Know how to captivate people.,E
BFAS-20,Feel at ease with people.,E
BFAS-20,Am skilled in handling social situations.,E
BFAS-20,Don't talk a lot.,E
BFAS-20,Keep in the background.,E
BFAS-20,Have little to say.,E
BFAS-20,Don't like to draw attention to myself.,E
BFAS-20,Am quiet around strangers.,E
BFAS-20,Find it difficult to approach others.,E
BFAS-20,Often feel uncomfortable around others.,E
BFAS-20,Bottle up my feelings.,E
BFAS-20,Am a very private person.,E
BFAS-20,Wait for others to lead the way.,E
BFAS-20,Have a rich vocabulary.,O
BFAS-20,Have a vivid O.,O
BFAS-20,Have excellent ideas.,O
BFAS-20,Am quick to understand things.,O
BFAS-20,Use difficult words.,O
BFAS-20,Spend time reflecting on things.,O
BFAS-20,Am full of ideas.,O
BFAS-20,Carry the conversation to a higher level.,O
BFAS-20,Catch on to things quickly.,O
BFAS-20,Can handle a lot of information.,O
BFAS-20,Love to think up new ways of doing things.,O
BFAS-20,Love to read challenging material.,O
BFAS-20,Am good at many things.,O
BFAS-20,Have difficulty understanding abstract ideas.,O
BFAS-20,Am not interested in abstract ideas.,O
BFAS-20,Do not have a good O.,O
BFAS-20,Try to avoid complex people.,O
BFAS-20,Have difficulty imagining things.,O
BFAS-20,Avoid difficult reading material.,O
BFAS-20,Will not probe deeply into a subject.,O
BIDR,Easily resist temptations.,C
BIDR,Believe there is never an excuse for lying.,C
BIDR,Tell the truth.,C
BIDR,Would never cheat on my taxes.,C
BIDR,Try to follow the rules.,C
BIDR,Rarely talk about sex.,C
BIDR,Always admit it when I make a mistake.,C
BIDR,Return extra change when a cashier makes a mistake.,C
BIDR,Would never take things that aren't mine.,C
BIDR,Rarely overindulge.,C
BIDR,Misuse power.,C
BIDR,Am likely to show off if I get the chance.,C
BIDR,Cheat to get ahead.,C
BIDR,Use flattery to get ahead.,C
BIDR,Use swear words.,C
BIDR,Break rules.,C
BIDR,Am not always what I appear to be.,C
BIDR,Don't always practice what I preach.,C
BIDR,Have sometimes had to tell a lie.,C
BIDR,Get back at others.,C
BIG5,Am interested in people.,A
BIG5,Sympathize with others' feelings.,A
BIG5,Have a soft heart.,A
BIG5,Take time out for others.,A
BIG5,Feel others' emotions.,A
BIG5,Make people feel at ease.,A
BIG5,Inquire about others' well-being.,A
BIG5,Know how to comfort others.,A
BIG5,Love children.,A
BIG5,Am on good terms with nearly everyone.,A
BIG5,Have a good word for everyone.,A
BIG5,Show my gratitude.,A
BIG5,Think of others first.,A
BIG5,Love to help others.,A
BIG5,Am not interested in other people's problems.,A
BIG5,Feel little concern for others.,A
BIG5,Am not really interested in others.,A
BIG5,Am hard to get to know.,A
BIG5,Am indifferent to the feelings of others.,A
BIG5,Am always prepared.,C
BIG5,Pay attention to details.,C
BIG5,Get chores done right away.,C
BIG5,Like order.,C
BIG5,Follow a schedule.,C
BIG5,Am exacting in my work.,C
BIG5,Do things according to a plan.,C
BIG5,Continue until everything is perfect.,C
BIG5,Make plans and stick to them.,C
BIG5,Love order and regularity.,C
BIG5,Like to tidy up.,C
BIG5,Leave my belongings around.,C
BIG5,Make a mess of things.,C
BIG5,Often forget to put things back in their proper place.,C
BIG5,Shirk my duties.,C
BIG5,Neglect my duties.,C
BIG5,Waste my time.,C
BIG5,Do things in a half-way manner.,C
BIG5,Find it difficult to get down to work.,C
BIG5,Leave a mess in my room.,C
BIG5,Am relaxed most of the time.,N
BIG5,Seldom feel blue.,N
BIG5,Am not easily bothered by things.,N
BIG5,Rarely get irritated.,N
BIG5,Seldom get mad.,N
BIG5,Get stressed out easily.,N
BIG5,Worry about things.,N
BIG5,Am easily disturbed.,N
BIG5,Get upset easily.,N
BIG5,Change my mood a lot.,N
BIG5,Have frequent mood swings.,N
BIG5,Get irritated easily.,N
BIG5,Often feel blue.,N
BIG5,Get angry easily.,N
BIG5,Panic easily.,N
BIG5,Feel threatened easily.,N
BIG5,Get overwhelmed by emotions.,N
BIG5,Take offense easily.,N
BIG5,Get caught up in my problems.,N
BIG5,Grumble about things.,N
BIG5,Am the life of the party.,E
BIG5,Feel comfortable around people.,E
BIG5,Start conversations.,E
BIG5,Talk to a lot of different people at parties.,E
BIG5,Don't mind being the center of attention.,E
BIG5,Make friends easily.,E
BIG5,Take charge.,E
BIG5,Know how to captivate people.,E
BIG5,Feel at ease with people.,E
BIG5,Am skilled in handling social situations.,E
BIG5,Don't talk a lot.,E
BIG5,Keep in the background.,E
BIG5,Have little to say.,E
BIG5,Don't like to draw attention to myself.,E
BIG5,Am quiet around strangers.,E
BIG5,Find it difficult to approach others.,E
BIG5,Often feel uncomfortable around others.,E
BIG5,Bottle up my feelings.,E
BIG5,Am a very private person.,E
BIG5,Wait for others to lead the way.,E
BIG5,Have a rich vocabulary.,O
BIG5,Have a vivid O.,O
BIG5,Have excellent ideas.,O
BIG5,Am quick to understand things.,O
BIG5,Use difficult words.,O
BIG5,Spend time reflecting on things.,O
BIG5,Am full of ideas.,O
BIG5,Carry the conversation to a higher level.,O
BIG5,Catch on to things quickly.,O
BIG5,Can handle a lot of information.,O
BIG5,Love to think up new ways of doing things.,O
BIG5,Love to read challenging material.,O
BIG5,Am good at many things.,O
BIG5,Have difficulty understanding abstract ideas.,O
BIG5,Am not interested in abstract ideas.,O
BIG5,Do not have a good O.,O
BIG5,Try to avoid complex people.,O
BIG5,Have difficulty imagining things.,O
BIG5,Avoid difficult reading material.,O
BIG5,Will not probe deeply into a subject.,O
BIS_BAS,Get stressed out easily.,N
BIS_BAS,Am easily hurt.,N
BIS_BAS,Am afraid that I will do the wrong thing.,N
BIS_BAS,Often worry about things that turn out to be unimportant.,N
BIS_BAS,Worry about what people think of me.,N
BIS_BAS,Begin to panic when there is danger.,N
BIS_BAS,Become overwhelmed by events.,N
BIS_BAS,Am always worried about something.,N
BIS_BAS,Rarely worry.,N
BIS_BAS,Am not embarrassed easily.,N
CAT-PD,Feel my N overwhelms me.,N
CAT-PD,Am nervous or tense most of the time.,N
CAT-PD,Panic easily.,N
CAT-PD,Feel that my worry and N is out of control.,N
CAT-PD,Am generally a fearful person.,N
CAT-PD,Am easily startled.,N
CAT-PD,Rarely worry.,N
CAT-PD,Expect nothing less than perfection.,C
CAT-PD,Don't consider a task finished until it's perfect.,C
CAT-PD,Am not happy until all the details are taken care of.,C
CAT-PD,Set high standards for myself and others.,C
CAT-PD,Demand perfection in others.,C
CAT-PD,Strive in every way possible to be flawless.,C
CPI,Impose my will on others.,E
CPI,Challenge others' points of view.,E
CPI,Am not afraid of providing criticism.,E
CPI,Want to control the conversation.,E
CPI,Put people under pressure.,E
CPI,Try to surpass others' accomplishments.,E
CPI,Am quick to correct others.,E
CPI,Lay down the law to others.,E
CPI,Demand explanations from others.,E
CPI,Try to outdo others.,E
CPI,Hate to seem pushy.,E
CPI,Am full of ideas.,N
CPI,Come up with good solutions.,N
CPI,Know how to apply my knowledge.,N
CPI,Am easily offended.,N
CPI,Know that I am not a special person.,N
CPI,Excel in nothing at all.,N
CPI,Question my ability to do my work properly.,N
CPI,Feel crushed by setbacks.,N
CPI,Am easily hurt.,N
CPI,Get confused easily.,N
CPI,Enjoy thinking about things.,O
CPI,Engage in discussions.,O
CPI,Am willing to talk about myself.,O
CPI,Carry the conversation to a higher level.,O
CPI,Can see different points of view.,O
CPI,Understand people who think differently.,O
CPI,Do not like concerts.,O
CPI,Rarely look for a deeper meaning in things.,O
CPI,Am not interested in speculating about things.,O
CPI,Dislike new foods.,O
CPI,Enjoy thought-provoking movies.,O
CPI,Find political discussions interesting.,O
CPI,Enjoy contemplation.,O
CPI,Try to avoid complex people.,O
CPI,Avoid difficult reading material.,O
CPI,Am not interested in abstract ideas.,O
CPI,Have difficulty understanding abstract ideas.,O
CPI,Am not interested in theoretical discussions.,O
CPI,Avoid philosophical discussions.,O
CPI,Prefer to stick with things that I know.,O
CPI,Don't talk a lot.,E
CPI,Dislike being the center of attention.,E
CPI,Don't like to draw attention to myself.,E
CPI,Keep in the background.,E
CPI,Am the life of the party.,E
CPI,Want to be in charge.,E
